KPIID,KPI Name,Formula/Logic (per100g),Metrics,Direction,Min,Max,Weight,Category,ToReport?,DishType,CalLevel,KPI DISPLAY NAME,Remarks For Dashboard,NumeratorMetric,DenominatorMetric,Factor
1,AvgEnergyDensityMain,Total Calories Main Dishes ÷ Total Main Dishes,AVERAGE,LOWER,-,250,0.03,NUTRITIONAL,Yes,main,Dish,Average Energy Density - Main Dishes,Average kcal/100 g.,TotalCaloriesMainDish,MainDishCount,1
2,AvgEnergyDensitySide,Total Calories Side Dishes ÷ Total Side Dishes,AVERAGE,LOWER,-,180,0.03,NUTRITIONAL,Yes,side,Dish,Average Energy Density - Side Dishes,Average kcal/100 g.,TotalCaloriesSideDish,SideDishCount,1
3,HighEnergyMainExposure%,Main Dishes above 300 kcal/100 g ÷ Total Main Dishes × 100,PERCENTAGE,LOWER,-,0.2,0.03,NUTRITIONAL,Yes,main,Dish,High-Energy Main Dish Exposure,Threshold updated 260 ? 300 kcal/100 g per spec.,HighCalorieMainDishCount,MainDishCount,1
4,HighEnergySideExposure%,Side Dishes above 250 kcal/100 g ÷ Total Side Dishes × 100,PERCENTAGE,LOWER,-,0.2,0.03,NUTRITIONAL,Yes,side,Dish,High-Energy Side Dish Exposure,Threshold updated 220 ? 250 kcal/100 g per spec.,HighCalorieSideDishCount,SideDishCount,1
5,AvgProteinMain,Total Protein (g) Main Dishes ÷ Total Main Dishes,AVERAGE,HIGHER,18,-,0.05,NUTRITIONAL,Yes,main,Dish,Average Protein Content - Main Dishes,Minimum raised 17 ? 18 g/100 g per spec.,TotalProteinPerMainDish,MainDishCount,1
6,ProteinComplianceMain%,Main Dishes with Protein ?18 g ÷ Total Main Dishes × 100,PERCENTAGE,HIGHER,0.65,-,0.04,NUTRITIONAL,Yes,main,Dish,Protein Target Compliance - Main Dishes,Dish threshold aligned to 18 g (was 17 g).,ProteinAdequacyMainDishCount,MainDishCount,1
7,ProteinDensityMain,(Protein g per Main Dish ÷ Calories per Main Dish) × 100,RATIO,HIGHER,5,-,0.04,NUTRITIONAL,Yes,main,Dish,Protein Density - Main Dishes,Protein g per 100 kcal.,TotalProteinPerMainDish,TotalCaloriesMainDish,100
8,AvgFibreSide,Total Fibre (g) Side Dishes ÷ Total Side Dishes,AVERAGE,HIGHER,3,-,0.03,NUTRITIONAL,Yes,side,Dish,Average Fibre Content - Side Dishes,Average fibre g/100 g.,TotalFiberPerSideDish,SideDishCount,1
9,FibreCarbRatioSide,Total Fibre Side Dishes ÷ Total Carbohydrates Side Dishes,RATIO,HIGHER,0.1,-,0.03,NUTRITIONAL,Yes,side,Dish,Fibre-to-Carbohydrate Ratio - Side Dishes,,TotalFiberPerSideDish,TotalCarbsPerSideDish,1
10,WholeGrainUsageSide%,Whole-Grain Side Dishes ÷ Total Side Dishes × 100,PERCENTAGE,HIGHER,0.2,-,0.02,NUTRITIONAL,Yes,side,Dish,Whole-Grain Usage - Side Dishes,Needs a controlled whole-grain ingredient lookup.,WholeGrainSideDishCount,SideDishCount,1
11,RefinedCarbExposureSide%,Refined-Carb Side Dishes ÷ Total Side Dishes × 100,PERCENTAGE,LOWER,-,0.3,0.04,NUTRITIONAL,Yes,side,Dish,Refined Carbohydrate Exposure - Side Dishes,,RefinedCarbSideDishCount,SideDishCount,1
12,SugarCarbRatio%,Total Sugar ÷ Total Carbohydrates × 100,PERCENTAGE,LOWER,-,0.25,0.02,NUTRITIONAL,Yes,total,Dish,Sugar-to-Carbohydrate Ratio,,TotalSugar,TotalCarbs,1
